Date,Symbol,Company Name,Split Ratio
10/09/2024,SONY,Sony Group Corporation,1:5
10/03/2024,LRCX,Lam Research Corporation,1:10
09/30/2024,KDCLF,Unknown,1:3
09/12/2024,CTAS,Cintas Corporation,1:4
08/29/2024,TKSHF,"Takashimaya Company, Limited",1:2
08/07/2024,YZCAY,Yankuang Energy Group Company Limited,1:1
07/17/2024,EBCOY,Ebara Corporation,1:5
07/16/2024,NVDX,T-Rex 2X Long NVIDIA Daily Target ETF,1:10
07/15/2024,USLM,"United States Lime & Minerals, Inc.",1:5
07/15/2024,AVGO,Broadcom Inc.,1:10
07/10/2024,MITSY,"Mitsui & Co., Ltd.",1:2
07/10/2024,HTHIY,"Hitachi, Ltd.",1:5
07/09/2024,WSM,"Williams-Sonoma, Inc.",1:2
07/09/2024,ASCCY,ASICS Corporation,1:4
07/05/2024,SNFCA,Security National Financial Corporation,1:1
06/27/2024,TYHOF,Toyota Tsusho Corporation,1:3
06/27/2024,TMRNF,"Tamron Co.,Ltd.",1:2
06/27/2024,NSSXF,NS Solutions Corporation,1:2
06/27/2024,NHNKF,Nihon Kohden Corporation,1:2
06/27/2024,MITSF,"Mitsui & Co., Ltd.",1:2
06/27/2024,HTHIF,"Hitachi, Ltd.",1:5
06/27/2024,FRUYF,Unknown,1:3
06/27/2024,EBCOF,Ebara Corporation,1:5
06/27/2024,CEJOF,Cresco Ltd.,1:2
06/27/2024,ASCCF,ASICS Corporation,1:4
06/27/2024,ALNKF,Unknown,1:2
06/26/2024,CMG,"Chipotle Mexican Grill, Inc.",1:50
06/24/2024,BBSI,"Barrett Business Services, Inc.",1:4
06/20/2024,RGBPP,"Regen BioPharma, Inc.",1:3
06/20/2024,RGBP,"Regen BioPharma, Inc.",1:3
06/18/2024,CFRLF,China Aircraft Leasing Group Holdings Limited,1:1
06/12/2024,CEGHF,China Education Group Holdings Limited,1:1
06/12/2024,APH,Amphenol Corporation,1:2
06/11/2024,CNQ,Canadian Natural Resources Limited,1:2
06/10/2024,NVDA,NVIDIA Corporation,1:10
06/06/2024,XYIGF,Xinyi Glass Holdings Limited,1:1
06/06/2024,XNYIF,Xinyi Solar Holdings Limited,1:1
06/05/2024,SLTQY,SNGN Romgaz SA,1:10
06/05/2024,SCNQY,Unknown,1:10
06/05/2024,OSOL,Osprey Solana Trust,1:16
06/03/2024,AEZS,Aeterna Zentaris Inc.,1:1
05/31/2024,DAFVF,Unknown,1:2
05/30/2024,IGPTF,Unknown,1:4
05/30/2024,CDIGF,Unknown,1:1
05/24/2024,MTRJF,MTR Corporation Limited,1:1
05/24/2024,CIG,Companhia Energética de Minas Gerais - CEMIG,1:1
05/20/2024,SZIHF,Shenzhen International Holdings Limited,1:1
05/20/2024,NOSPF,Neoen S.A.,1:1
05/17/2024,MSBC,Mission Bancorp,1:1
05/17/2024,EDRVY,"EDP Renováveis, S.A.",1:1
05/16/2024,SAABY,Saab AB (publ),1:4
05/13/2024,HKSHF,"The Hongkong and Shanghai Hotels, Limited",1:1
