Date,Symbol,Decision
07/05/2024,ALTAF,ROUNDING
07/03/2024,MDRR,FRACTIONAL
07/03/2024,ASLN,ROUNDING
07/01/2024,JDST,ROUNDING
07/01/2024,KORE,ROUNDING
06/26/2024,OMIC,ROUNDING
06/26/2024,STAF,ROUNDING
06/25/2024,BURU,ROUNDING
06/25/2024,NKLA,FRACTIONAL
06/24/2024,CHMJF,ROUNDING
06/24/2024,SABA,ROUNDING
06/21/2024,AVRO,ROUNDING
06/21/2024,QLI,ROUNDING
06/21/2024,TECX,ROUNDING
06/20/2024,ATRA,ROUNDING
06/20/2024,UREKF,ROUNDING
06/18/2024,CGUSY,ROUNDING
06/18/2024,VSME,ROUNDING
06/18/2024,RGXTF,ROUNDING
06/18/2024,FORD,ROUNDING
