Date,Symbol,Company Name,Split Ratio
07/11/2024,AMWL,Amwell,1:20
07/10/2024,FRES,Fresh2 Group Ltd.,1 : 10
07/08/2024,EFSH,1847 Holdings LLC,1:13
07/05/2024,ALTAF,Morella Corporation Limited,1 : 25.00
07/03/2024,MDRR,"Medalist Diversified REIT, Inc",1:2
07/03/2024,JZXN,"Jiuzi Holdings, Inc",1:13
07/03/2024,ASLN,ASLAN Pharmaceuticals Limited,1:8
07/03/2024,NUTX,Nutex Health Inc,1:10
07/02/2024,ASST,Asset Entities Inc,1:5
07/01/2024,BURU,"Nuburu, Inc",1:40
07/01/2024,AZTR,"Azitra, Inc",1:30
07/01/2024,YGMZ,MingZhu Logistics Holdings Limited,1:8
07/01/2024,RELI,"Reliance Global Group, Inc",1:17
07/01/2024,DARE,"Dare Bioscience, Inc",1:12
07/01/2024,JDST,Direxion Daily Junior Gold Miners Index Bear 2X Shares ETF,1:10
07/01/2024,KORE,"KORE Group Holdings, Inc",1:5
07/01/2024,MYBUF,Meyer Burger Technology AG,1:750
06/28/2024,SPEYF,Spey Resources Corp,1:10
06/28/2024,ESHSF,Eddy Smart Home Solns,1:100
06/28/2024,NUWE,"Nuwellis, Inc",1:35
06/28/2024,WHLR,"Wheeler Real Estate Investment Trust, Inc",1:5
06/27/2024,YYAI,Connexa Sports Technologies Inc,1:20
06/27/2024,RIGL,"Rigel Pharmaceuticals, Inc",1:10
