Date,Symbol,Company Name,Type,Split Ratio
6/28/2024,YYAI,Connexa Sports Technologies Inc,Reverse,1 : 20
6/25/2024,NKLA,Nikola Corp,Reverse,1 : 30
6/25/2024,CRKN,Crown Electrokinetics Corp,Reverse,1 : 149.93
6/21/2024,TECX,Tectonic Therapeutic Inc,Reverse,1 : 12
6/21/2024,QLI,Qilian International Holding Group Ltd.,Reverse,1 : 5
6/20/2024,BJDX,Bluejay Diagnostics Inc,Reverse,1 : 8
6/20/2024,ATRA,Atara Biotherapeutics Inc,Reverse,1 : 25
6/18/2024,VSME,Vs Media Holdings Ltd.,Reverse,1 : 7
6/18/2024,GRI,Gri Bio Inc,Reverse,1 : 13
6/18/2024,FORD,Forward Industries Inc,Reverse,1 : 10
6/17/2024,WKHS,Workhorse Group Inc,Reverse,1 : 20
6/17/2024,STRR,Star Equity Holdings Inc,Reverse,1 : 5
6/17/2024,SPCE,Virgin Galactic Holdings Inc,Reverse,1 : 20
6/17/2024,SLRX,Salarius Pharmaceuticals Inc,Reverse,1 : 8
6/17/2024,CATX,Perspective Therapeutics Inc,Reverse,1 : 10
6/14/2024,TWOU,2u Inc,Reverse,1 : 30
6/14/2024,TRNR,Interactive Strength Inc,Reverse,1 : 40
6/13/2024,VLD,Velo3d Inc,Reverse,1 : 35
6/13/2024,RBOT,Vicarious Surgical Inc,Reverse,1 : 30
6/13/2024,NAAS,Naas Technology Inc,Reverse,1 : 20
6/12/2024,PEGY,Pineapple Energy Inc,Reverse,1 : 15
6/12/2024,BNED,Barnes & Noble Education Inc,Reverse,1 : 100
6/11/2024,KPRX,Kiora Pharmaceuticals Inc,Reverse,1 : 9
6/11/2024,DM,Desktop Metal Inc,Reverse,1 : 10
6/10/2024,TNXP,Tonix Pharmaceuticals Holding Corp,Reverse,1 : 32
6/10/2024,RTC,Baijiayun Group Ltd.,Reverse,1 : 5
6/10/2024,ICU,Seastar Medical Holding Corp,Reverse,1 : 25
6/7/2024,VLCN,Volcon Inc,Reverse,1 : 100
6/7/2024,SSKN,Strata Skin Sciences Inc,Reverse,1 : 10
6/7/2024,DBVT,Dbv Technologies SA,Reverse,1 : 2
6/7/2024,CEAD,Cea Industries Inc,Reverse,1 : 12
6/6/2024,SNGX,Soligenix Inc,Reverse,1 : 16
6/6/2024,QXO,Qxo Inc,Reverse,1 : 8
6/5/2024,CNSP,Cns Pharmaceuticals Inc,Reverse,1 : 50
6/4/2024,LICY,Li-cycle Holdings Corp,Reverse,1 : 8
6/3/2024,PLAG,Planet Green Holdings Corp,Reverse,1 : 10
6/3/2024,GWAV,Greenwave Technology Solutions Inc,Reverse,1 : 149.93
5/31/2024,NBY,Novabay Pharmaceuticals Inc,Reverse,1 : 35
5/30/2024,BCDA,Biocardia Inc,Reverse,1 : 15
5/29/2024,GV,Visionary Holdings Inc,Reverse,1 : 15
5/28/2024,THAR,Tharimmune Inc,Reverse,1 : 15
5/28/2024,SINT,Sintx Technologies Inc,Reverse,1 : 200
5/23/2024,JAGX,Jaguar Health Inc,Reverse,1 : 59.99
5/23/2024,AKAN,Akanda Corp,Reverse,1 : 40
5/22/2024,CIM,Chimera Investment Corp,Reverse,1 : 3
5/21/2024,SCNI,Scinai Immunotherapeutics Ltd.,Reverse,1 : 10
5/20/2024,OPGN,Opgen Inc,Reverse,1 : 10
5/20/2024,GCTK,Glucotrack Inc,Reverse,1 : 5
5/20/2024,BSFC,Blue Star Foods Corp,Reverse,1 : 50
5/17/2024,HSCS,Heart Test Laboratories Inc,Reverse,1 : 100
5/17/2024,CTHR,Charles & Colvard Ltd.,Reverse,1 : 10
5/16/2024,SEEL,Seelos Therapeutics Inc,Reverse,1 : 8
5/16/2024,ELWS,Earlyworks Co Ltd.,Reverse,1 : 5
5/16/2024,DRMA,Dermata Therapeutics Inc,Reverse,1 : 15
5/15/2024,WAY,Waystar Holding Corp,Reverse,1 : 1.65
5/15/2024,BNR,Burning Rock Biotech Ltd.,Reverse,1 : 10
5/14/2024,TIRX,Tian Ruixiang Holdings Ltd.,Reverse,1 : 5
5/14/2024,ADN,Advent Technologies Holdings Inc,Reverse,1 : 30
5/10/2024,ZH,Zhihu Inc,Reverse,1 : 6
5/9/2024,TBIO,Telesis Bio Inc,Reverse,1 : 18
5/8/2024,IVP,Inspire Veterinary Partners Inc,Reverse,1 : 100
5/6/2024,OLB,Olb Group Inc,Reverse,1 : 10
5/6/2024,BZFD,Buzzfeed Inc,Reverse,1 : 4
5/3/2024,YTEN,Yield10 Bioscience Inc,Reverse,1 : 24
5/3/2024,AEZS,Aeterna Zentaris Inc,Reverse,1 : 4
5/2/2024,SGBX,Safe & Green Holdings Corp,Reverse,1 : 20
5/1/2024,VINO,Gaucho Group Holdings Inc,Reverse,1 : 10
5/1/2024,SOPA,Society Pass Incorporated,Reverse,1 : 15
5/1/2024,RCON,Recon Technology Ltd.,Reverse,1 : 18
4/29/2024,BKKT,Bakkt Holdings Inc,Reverse,1 : 25
4/26/2024,ZVSA,Zyversa Therapeutics Inc,Reverse,1 : 10
4/26/2024,ATXI,Avenue Therapeutics Inc,Reverse,1 : 75.02
4/25/2024,APDN,Applied Dna Sciences Inc,Reverse,1 : 20
4/24/2024,CDTX,Cidara Therapeutics Inc,Reverse,1 : 20
4/23/2024,ZAPP,Zapp Electric Vehicles Group Ltd.,Reverse,1 : 20
4/23/2024,PIRS,Pieris Pharmaceuticals Inc,Reverse,1 : 80
4/23/2024,MYSZ,My Size Inc,Reverse,1 : 8
4/23/2024,BPTSY,Biophytis SA,Reverse,1 : 40
4/22/2024,WINT,Windtree Therapeutics Inc,Reverse,1 : 18
4/22/2024,SMFL,Smart For Life Inc,Reverse,1 : 7
4/19/2024,GSUN,Golden Sun Health Technology Group Ltd.,Reverse,1 : 10
4/18/2024,BENF,Beneficient,Reverse,1 : 80
4/17/2024,SBFM,Sunshine Biopharma Inc,Reverse,1 : 100
4/16/2024,NCNA,Nucana PLC,Reverse,1 : 25
4/15/2024,WISA,Wisa Technologies Inc,Reverse,1 : 149.93
4/15/2024,MRIN,Marin Software Inc,Reverse,1 : 6
4/15/2024,GRRR,Gorilla Technology Group Inc,Reverse,1 : 10
4/12/2024,MI,Nft Ltd.,Reverse,1 : 50
4/12/2024,FLNT,Fluent Inc,Reverse,1 : 6
4/12/2024,EZGO,Ezgo Technologies Ltd.,Reverse,1 : 40
4/12/2024,CISS,C3is Inc,Reverse,1 : 100
4/12/2024,AGEN,Agenus Inc,Reverse,1 : 20
4/11/2024,SMSI,Smith Micro Software Inc,Reverse,1 : 8
4/11/2024,BON,Bon Natural Life Ltd.,Reverse,1 : 10
