Symbol,Name,Closed Date,Quantity,Sell Price,Cost Basis (CB),Split Ratio,Adjusted Cost Basis,Difference
FFIE,FARADAY FUTURE INTEL,08/28/2023,1,10.56,0.16,1 : 3,0.48,2100.0
MNTS,MOMENTUS INC A,08/28/2023,1,8.33,0.24,1 : 50,12.0,-30.58
SUNL,SUNLIGHT FINL HOLDIN A,08/28/2023,1,2.14,0.12,,0.12,1683.33
SQL,SEQLL INC,08/31/2023,1,15.83,0.4,,0.4,3857.5
GROM,GROM SOCIAL ENTERPRI,09/07/2023,1,5.76,0.29,1 : 20,5.8,-0.69
RVYL,RYVYL INC,09/07/2023,1,5.3,5.3,1 : 10,53.0,-90.0
LFLY,LEAFLY HLDGS INC,09/12/2023,1,10.53,0.64,1 : 20,12.8,-17.73
RVYL,RYVYL INC,09/12/2023,1,6.6,5.1,1 : 10,51.0,-87.06
ASTI,ASCENT SOLAR TECH,09/13/2023,1,9.2,0.05,1 : 200,10.0,-8.0
AVGR,AVINGER INC,09/13/2023,1,4.88,0.41,1 : 15,6.1499999999999995,-20.65
KXIN,KAIXIN AUTO HLDGS,09/15/2023,1,2.85,0.23,1 : 15,3.45,-17.39
AEHL,ANTELOPE ENTERPRISE A,09/18/2023,1,3.09,0.33,1 : 10,3.3000000000000003,-6.36
AYRO,AYRO INC,09/18/2023,1,3.36,0.49,1 : 8,3.92,-14.29
CNXA,CONNEXA SPORTS TECHN,09/25/2023,1,4.74,0.14,,0.14,3285.71
EJH,E-HOME HOUSEHOLD SVC,09/25/2023,1,0.92,0.09,1 : 5,0.44999999999999996,104.44
SASI,SIGMA ADDITIVE SOLUT,09/25/2023,1,3.66,0.19,,0.19,1826.32
PIXY,SHIFTPIXY INC,09/29/2023,1,0.8,0.78,1 : 24,18.72,-95.73
EBET,EBET INC,10/02/2023,1,0.71,0.03,1 : 30,0.8999999999999999,-21.11
SVFD,SAVE FOODS INC,10/06/2023,1,2.97,0.55,,0.55,440.0
AGRI,AGRIFORCE GROWING SY,10/12/2023,1,3.13,0.08,1 : 50,4.0,-21.75
LIFW,MSP RECOVERY INC A,10/13/2023,1,1.74,0.14,1 : 25,3.5000000000000004,-50.29
SLNH,SOLUNA HOLDINGS INC,10/18/2023,1,2.9,0.18,1 : 25,4.5,-35.56
CPOP,POP CULTURE GROUP CO A,10/27/2023,1,2.23,0.34,1 : 10,3.4000000000000004,-34.41
SMFL,SMART FOR LIFE INC,10/27/2023,1,2.01,0.71,1 : 7,4.97,-59.56
BYU,BAIYU HLDGS INC,10/30/2023,1,2.6,0.08,1 : 50,4.0,-35.0
VVOS,VIVOS THERAPEUTICS I,10/31/2023,1,6.4,3.8,1 : 25,95.0,-93.26
JFBR,JEFFS BRANDS LTD,11/03/2023,1,2.79,1.64,1 : 7,11.479999999999999,-75.7
NVOS,NOVO INTEGRATED SCIE,11/08/2023,1,1.91,0.14,1 : 10,1.4000000000000001,36.43
PRE,PRENETICS GLOBAL LTD A,11/14/2023,1,5.38,0.34,1 : 15,5.1000000000000005,5.49
THAR,THARIMMUNE INC,11/21/2023,1,3.52,0.18,1 : 15,2.6999999999999997,30.37
YOSH,YOSHIHARU GLOBAL CO A,11/30/2023,1,5.85,0.45,1 : 10,4.5,30.0
CING,CINGULATE INC,12/04/2023,1,5.09,0.33,1 : 20,6.6000000000000005,-22.88
LQR,LQR HSE INC,12/04/2023,1,1.35,0.03,1:1,0.03,4400.0
UK,UCOMMUNE INTL LTD A,12/04/2023,1,3.5,0.35,1 : 12,4.199999999999999,-16.67
ENG,ENGLOBAL CORP,12/05/2023,1,1.99,0.24,1 : 8,1.92,3.65
MCOM,MICROMOBILITYCOM INC A,12/06/2023,1,1.14,0.01,1 : 149.93,0.01,11300.0
ZVSA,ZYVERSA THERAPEUTICS,12/07/2023,1,1.29,0.06,1 : 10,0.6,115.0
PAVM,PAVMED INC,12/11/2023,1,2.92,0.22,1 : 15,3.3,-11.52
SNCE,SCIENCE 37 HLDGS INC,12/12/2023,1,4.18,0.25,1 : 20,5.0,-16.4
AUVI,APPLIED UV INC NV,12/14/2023,1,1.7,0.09,,0.09,1788.89
VRAX,VIRAX BIOLABS GROUP,12/20/2023,1,1.48,0.18,1 : 10,1.7999999999999998,-17.78
CENN,CENNTRO ELECTRIC GRO,12/21/2023,1,1.45,0.16,1 : 10,1.6,-9.38
MULN,MULLEN AUTOMOTIVE IN,12/21/2023,1,15.9,0.09,1 : 100,9.0,76.67
WNW,MEIWU TECHNOLOGY CO,12/26/2023,1,2.2,0.08,1 : 35,2.8000000000000003,-21.43
SIDU,SIDUS SPACE INC A,12/26/2023,1,4.03,0.04,1 : 100,4.0,0.75
AVTX,AVALO THERAPEUTICS I,12/29/2023,1,9.34,0.05,1 : 239.81,0.05,18580.0
NXU,NXU INC A,12/29/2023,1,2.21,0.02,1 : 149.93,0.02,10950.0
TENX,TENAX THERAPEUTICS,01/03/2024,1,16.9,0.26,1 : 80,20.8,-18.75
TBLT,TOUGHBUILT INDS INC,01/03/2024,1,7.63,0.16,1 : 65.02,0.16,4668.75
ACON,ACLARION INC,01/09/2024,1,3.25,0.2,1 : 16,3.2,1.56
DSS,DSS INC,01/09/2024,1,2.06,0.14,1 : 20,2.8000000000000003,-26.43
GMBL,ESPORTS ENTERTAINMEN,01/09/2024,1,3.24,0.01,1 : 400,4.0,-19.0
BETS,BIT BRO LTD A,01/10/2024,1,5.09,0.04,,0.04,12625.0
TTNP,TITAN PHARMACEUTICAL,01/12/2024,3,26.73,19.8,1 : 20,396.0,-93.25
RVIVD,REVIV3 PROCARE CO,01/17/2024,1,2.67,7.46,,7.46,-64.21
RNAZ,TRANSCODE THERAPEUTI,01/18/2024,1,1.94,0.14,1 : 40,5.6000000000000005,-65.36
DTSS,DATASEA INC,01/22/2024,1,0.11,0.11,1 : 15,1.65,-93.33
DTSS,DATASEA INC,01/24/2024,1,1.77,0.11,1 : 15,1.65,7.27
NVVE,NUVVE HLDG CORP,01/24/2024,1,5.2,0.08,1 : 40,3.2,62.5
PCSA,PROCESSA PHARMACEUTI,01/24/2024,1,2.15,0.5,1 : 20,10.0,-78.5
REVB,REVELATION BIOSCIENC,01/29/2024,1,18.54,0.37,1 : 30,11.1,67.03
INBS,INTELLIGENT BIO SOLU,02/01/2024,1,2.36,0.21,1 : 12,2.52,-6.35
MMAT,META MATLS INC,02/01/2024,1,3.56,0.06,1:2,0.12,2866.67
UAVS,AGEAGLE AERIAL SYSTE,02/05/2024,1,0.07,0.07,1 : 20,1.4000000000000001,-95.0
CMAX,CAREMAX INC A,02/05/2024,1,7.2,0.45,1 : 30,13.5,-46.67
