Date,Symbol,Company Name,Split Ratio,Current Price,Price Before Split,Sell Price,Difference,Percentage Difference
07/08/2024,IONM,Assure Holdings Corp,1:18,5.15,5.71,5.76,-0.05,0.88
07/02/2024,JZXN,"Jiuzi Holdings, Inc",1:13,2.92,4.02,2.79,1.23,-30.6
07/02/2024,NUTX,Nutex Health Inc,1:10,4.34,5.9,0.7,5.2,-88.14
06/09/2024,ICU,Seastar Medical Holding Corp,1 : 25,13.0,,3.72,,
06/09/2024,TNXP,Tonix Pharmaceuticals Holding Corp,1 : 32,0.6,,1.8,,
06/06/2024,CEAD,Cea Industries Inc,1 : 12,6.66,8.11,6.72,1.39,-17.14
06/04/2024,CNSP,Cns Pharmaceuticals Inc,1 : 50,1.03,6.45,3.89,2.56,-39.69
06/02/2024,GWAV,Greenwave Technology Solutions Inc,1 : 149.93,1.6,,3.64,,
06/02/2024,PLAG,Planet Green Holdings Corp,1 : 10,1.92,,2.05,,
05/30/2024,NBY,Novabay Pharmaceuticals Inc,1 : 35,2.3,3.5,2.77,0.73,-20.86
05/27/2024,THAR,Tharimmune Inc,1 : 15,3.51,,4.85,,
05/27/2024,SINT,Sintx Technologies Inc,1 : 200,4.78,,7.2,,
05/19/2024,OPGN,Opgen Inc,1 : 10,2.93,,3.3,,
05/16/2024,CTHR,Charles & Colvard Ltd.,1 : 10,1.85,3.0,2.34,0.66,-22.0
05/16/2024,HSCS,Heart Test Laboratories Inc,1 : 100,4.67,11.3,5.27,6.03,-53.36
05/07/2024,IVP,Inspire Veterinary Partners Inc,1 : 100,3.52,3.6,3.38,0.22,-6.11
05/05/2024,BZFD,Buzzfeed Inc,1 : 4,2.72,,2.74,,
04/30/2024,VINO,Gaucho Group Holdings Inc,1 : 10,6.4,5.3,4.42,0.88,-16.6
04/30/2024,RCON,Recon Technology Ltd.,1 : 18,1.64,1.62,1.79,-0.17,10.49
04/30/2024,SOPA,Society Pass Incorporated,1 : 15,1.1,1.75,1.76,-0.01,0.57
04/25/2024,ZVSA,Zyversa Therapeutics Inc,1 : 10,4.75,6.08,5.36,0.72,-11.84
04/25/2024,ATXI,Avenue Therapeutics Inc,1 : 75.02,3.42,8.77,4.71,4.06,-46.29
04/22/2024,ZAPP,Zapp Electric Vehicles Group Ltd.,1 : 20,17.95,4.44,2.44,2.0,-45.05
04/21/2024,SMFL,Smart For Life Inc,1 : 7,2.54,,3.77,,
04/21/2024,WINT,Windtree Therapeutics Inc,1 : 18,3.33,,5.11,,
04/18/2024,GSUN,Golden Sun Health Technology Group Ltd.,1 : 10,7.5,4.9,2.35,2.55,-52.04
04/16/2024,SBFM,Sunshine Biopharma Inc,1 : 100,0.36,6.8,2.01,4.79,-70.44
04/11/2024,FLNT,Fluent Inc,1 : 6,3.5,3.0,2.7,0.3,-10.0
04/11/2024,MI,Nft Ltd.,1 : 50,5.2,7.25,4.25,3.0,-41.38
04/10/2024,BON,Bon Natural Life Ltd.,1 : 10,2.32,4.25,3.74,0.51,-12.0
04/09/2024,TCON,Tracon Pharmaceuticals Inc,1 : 20,0.76,3.36,2.03,1.33,-39.58
04/08/2024,ALLR,Allarity Therapeutics Inc,1 : 20,0.21,4.3,2.35,1.95,-45.35
04/04/2024,EDBL,Edible Garden Ag Inc,1 : 20,1.24,8.4,6.65,1.75,-20.83
04/02/2024,UCAR,U Power Ltd.,1 : 100,7.85,6.2,6.33,-0.13,2.1
04/01/2024,NRXP,Nrx Pharmaceuticals Inc,1 : 10,2.15,5.25,5.36,-0.11,2.1
04/01/2024,AWIN,Aerwins Technologies Inc,1 : 100,0.44,6.6,5.27,1.33,-20.15
04/01/2024,XXII,22nd Century Group Inc,1 : 16,0.66,1.92,2.62,-0.7,36.46
03/31/2024,PLUR,Pluri Inc,1 : 8,5.8,,5.66,,
03/26/2024,LGVN,Longeveron Inc,1 : 10,2.87,3.44,2.86,0.58,-16.86
03/24/2024,INTZ,Intrusion Inc,1 : 20,1.11,,2.84,,
03/21/2024,MBRX,Moleculin Biotech Inc,1 : 15,3.25,0.44,4.66,-4.22,959.09
03/21/2024,MLGO,Microalgo Inc,1 : 10,5.51,4.25,4.66,-0.41,9.65
03/20/2024,BTTR,Better Choice Co Inc,1 : 43.99,3.2,6.6,6.86,-0.26,3.94
03/07/2024,CISO,Ciso Global Inc,1 : 15,0.56,1.38,1.25,0.13,-9.42
03/05/2024,CPHI,China Pharma Holdings Inc,1 : 5,0.26,0.35,0.59,-0.24,68.57
03/03/2024,LQR,LQR House Inc.,1:1,0.85,,1.3,,
03/03/2024,IFBD,Infobird Co Ltd.,1 : 8,3.01,,6.01,,
02/29/2024,CJJD,China Jo-jo Drugstores Inc,1 : 20,2.26,3.2,2.96,0.24,-7.5
02/29/2024,RETO,Reto Eco-solutions Inc,1 : 10,1.67,2.96,2.34,0.62,-20.95
02/29/2024,FFIE,Faraday Future Intelligent Electric Inc,1 : 3,0.39,0.21,7.88,-7.67,3652.38
02/28/2024,ZCMD,Zhongchao Inc,1 : 10,1.19,3.62,1.82,1.8,-49.72
02/27/2024,ATNF,180 Life Sciences Corp,1 : 19,2.91,3.7,3.38,0.32,-8.65
