Date,Symbol,Company Name,Split Ratio
07/09/2024,IONM,Assure Holdings Corp,1:18
07/03/2024,JZXN,"Jiuzi Holdings, Inc",1:13
07/03/2024,NUTX,Nutex Health Inc,1:10
06/10/2024,ICU,Seastar Medical Holding Corp,1 : 25
06/10/2024,TNXP,Tonix Pharmaceuticals Holding Corp,1 : 32
06/07/2024,CEAD,Cea Industries Inc,1 : 12
06/05/2024,CNSP,Cns Pharmaceuticals Inc,1 : 50
06/03/2024,GWAV,Greenwave Technology Solutions Inc,1 : 149.93
06/03/2024,PLAG,Planet Green Holdings Corp,1 : 10
05/31/2024,NBY,Novabay Pharmaceuticals Inc,1 : 35
05/28/2024,THAR,Tharimmune Inc,1 : 15
05/28/2024,SINT,Sintx Technologies Inc,1 : 200
05/20/2024,OPGN,Opgen Inc,1 : 10
05/17/2024,CTHR,Charles & Colvard Ltd.,1 : 10
05/17/2024,HSCS,Heart Test Laboratories Inc,1 : 100
05/08/2024,IVP,Inspire Veterinary Partners Inc,1 : 100
05/06/2024,BZFD,Buzzfeed Inc,1 : 4
05/01/2024,VINO,Gaucho Group Holdings Inc,1 : 10
05/01/2024,RCON,Recon Technology Ltd.,1 : 18
05/01/2024,SOPA,Society Pass Incorporated,1 : 15
04/26/2024,ZVSA,Zyversa Therapeutics Inc,1 : 10
04/26/2024,ATXI,Avenue Therapeutics Inc,1 : 75.02
04/23/2024,ZAPP,Zapp Electric Vehicles Group Ltd.,1 : 20
04/22/2024,SMFL,Smart For Life Inc,1 : 7
04/22/2024,WINT,Windtree Therapeutics Inc,1 : 18
04/19/2024,GSUN,Golden Sun Health Technology Group Ltd.,1 : 10
04/17/2024,SBFM,Sunshine Biopharma Inc,1 : 100
04/12/2024,FLNT,Fluent Inc,1 : 6
04/12/2024,MI,Nft Ltd.,1 : 50
04/11/2024,BON,Bon Natural Life Ltd.,1 : 10
04/10/2024,TCON,Tracon Pharmaceuticals Inc,1 : 20
04/09/2024,ALLR,Allarity Therapeutics Inc,1 : 20
04/05/2024,EDBL,Edible Garden Ag Inc,1 : 20
04/03/2024,UCAR,U Power Ltd.,1 : 100
04/02/2024,NRXP,Nrx Pharmaceuticals Inc,1 : 10
04/02/2024,AWIN,Aerwins Technologies Inc,1 : 100
