execution_date,split_from,split_to,ticker
2024-10-09,1.0,5.0,SONY
2024-10-03,1.0,10.0,LRCX
2024-09-30,1.0,3.0,KDCLF
2024-09-16,2.0,1.0,HSMCX
2024-09-16,2.0,1.0,HSLCX
2024-09-16,2.0,1.0,HMDCX
2024-09-16,4.0,1.0,HGOCX
2024-09-12,1.0,4.0,CTAS
2024-08-29,1.0,2.0,TKSHF
2024-08-07,1.0,1.3,YZCAY
2024-07-17,1.0,5.0,EBCOY
2024-07-16,1.0,10.0,NVDX
2024-07-16,3.0,1.0,NVDQ
2024-07-15,1.0,5.0,USLM
2024-07-15,1.0,10.0,AVGO
2024-07-10,1.0,2.0,MITSY
2024-07-10,1.0,5.0,HTHIY
2024-07-10,10.0,1.0,FRES
2024-07-09,1.0,2.0,WSM
2024-07-09,1.0,4.0,ASCCY
2024-07-05,1.0,1.05,SNFCA
2024-07-03,10.0,1.0,NUTX
2024-07-03,1.0,5.0,MDRR
2024-07-03,13.0,1.0,JZXN
2024-07-03,8.0,1.0,ASLN
2024-07-03,25.0,26.0,ACSAF
2024-07-02,5.0,1.0,ASST
2024-07-01,8.0,1.0,YGMZ
2024-07-01,17.0,1.0,RELI
2024-07-01,5.0,1.0,KORE
2024-07-01,10.0,1.0,JDST
2024-07-01,12.0,1.0,DARE
2024-07-01,40.0,1.0,BURU
2024-07-01,30.0,1.0,AZTR
2024-06-28,5.0,1.0,WHLR
2024-06-28,10.0,1.0,SPEYF
2024-06-28,35.0,1.0,NUWE
2024-06-28,100.0,1.0,ESHSF
2024-06-27,20.0,1.0,YYAI
2024-06-27,1.0,3.0,TYHOF
2024-06-27,1.0,2.0,TMRNF
2024-06-27,10.0,1.0,RIGL
2024-06-27,1.0,2.0,NSSXF
2024-06-27,1.0,2.0,NHNKF
2024-06-27,1.0,2.0,MITSF
2024-06-27,1.0,5.0,HTHIF
2024-06-27,1.0,3.0,FRUYF
2024-06-27,1.0,5.0,EBCOF
2024-06-27,1.0,2.0,CEJOF
2024-06-27,1.0,4.0,ASCCF
2024-06-27,1.0,2.0,ALNKF
2024-06-26,10.0,1.0,STAF
2024-06-26,30.0,1.0,OMIC
2024-06-26,1.0,50.0,CMG
2024-06-25,30.0,1.0,NKLA
2024-06-25,150.0,1.0,CRKN
2024-06-25,40.0,1.0,BURU
2024-06-25,1.0,10000.0,ALMC
2024-06-24,2.0,1.0,SABA
2024-06-24,10.0,1.0,CHMJF
2024-06-24,1.0,4.0,BBSI
2024-06-24,10.0,11.0,AIQUY
2024-06-21,5.0,1.0,QLI
2024-06-21,12.0,1.0,AVRO
2024-06-20,10.0,1.0,UREKF
2024-06-20,1.0,3.0,RGBPP
2024-06-20,1.0,3.0,RGBP
2024-06-20,8.0,1.0,BJDX
2024-06-20,25.0,1.0,ATRA
2024-06-18,7.0,1.0,VSME
2024-06-18,2.0,1.0,RGXTF
2024-06-18,13.0,1.0,GRI
2024-06-18,10.0,1.0,FORD
2024-06-18,100.0,1.0,CGUSY
2024-06-18,1.0,1.0496031746031746,CFRLF
2024-06-17,20.0,1.0,WKHS
2024-06-17,5.0,1.0,STRR
2024-06-17,20.0,1.0,SPCE
2024-06-17,8.0,1.0,SLRX
2024-06-17,5.0,1.0,HYDR
2024-06-17,40.0,1.0,FVVSF
2024-06-17,10.0,1.0,FNCNF
2024-06-17,4.0,1.0,CLIP
2024-06-17,10.0,1.0,CATX
2024-06-14,30.0,1.0,TWOU
2024-06-14,40.0,1.0,TRNR
2024-06-14,18.59322,19.59322,TBCCF
2024-06-14,1.0,0.1417,NSHLX
2024-06-14,64.93333,65.93333,LNSPF
2024-06-14,5.0,1.0,KRYXF
2024-06-14,24.0,25.0,ECMPF
2024-06-14,100.0,101.0,CZFS
2024-06-14,100.0,1.0,CGUIF
2024-06-13,35.0,1.0,VLD
2024-06-13,30.0,1.0,RBOT
2024-06-13,20.0,1.0,NAAS
2024-06-13,5.0,1.0,MWFEX
2024-06-13,10.0,1.0,DDNFF
2024-06-12,15.0,1.0,PEGY
2024-06-12,500.0,1.0,KSSH
2024-06-12,1.0,1.0512896825396825,CEGHF
2024-06-12,100.0,1.0,BNED
2024-06-12,1.0,2.0,APH
2024-06-11,40.0,1.0,TRGCF
2024-06-11,14.0,1.0,RTMFF
2024-06-11,9.0,1.0,KPRX
2024-06-11,291.0,1.0,KLLKF
2024-06-11,10.0,1.0,DM
2024-06-11,1.0,2.0,CNQ
2024-06-10,32.0,1.0,TNXP
2024-06-10,5.0,1.0,RTC
2024-06-10,1.0,10.0,NVDA
2024-06-10,60000.0,1.0,NICH
2024-06-10,25.0,1.0,ICU
2024-06-10,79.0,62.0,CRNCY
2024-06-10,4.0,1.0,CHYPF
2024-06-07,100.0,1.0,VLCN
2024-06-07,10.0,1.0,SSKN
2024-06-07,22.21881,23.21881,NGGTF
2024-06-07,2.0,1.0,DBVT
2024-06-07,12.0,1.0,CEAD
2024-06-07,7.0,1.0,BTCWF
2024-06-07,47.642857,48.642857,ARSSF
2024-06-07,6.0,1.0,ALDVF
2024-06-06,1.0,1.0418552036199096,XYIGF
2024-06-06,1.0,1.0337078651685392,XNYIF
2024-06-06,8.0,1.0,SSNT
2024-06-06,16.0,1.0,SNGX
2024-06-06,5.0,1.0,PNTZF
2024-06-06,1500.0,1.0,CICN
2024-06-05,1.0,10.0,SLTQY
2024-06-05,1.0,10.0,SCNQY
2024-06-05,1.0,16.0,OSOL
2024-06-05,50.0,1.0,CNSP
2024-06-05,17.0,10.0,ACENY
2024-06-04,8.0,1.0,LICY
2024-06-04,30.0,1.0,COPHF
2024-06-03,10.0,1.0,VIBEF
2024-06-03,10.0,1.0,PLAG
2024-06-03,150.0,1.0,GWAV
2024-06-03,5.0,1.0,FUSEF
2024-06-03,35.0,1.0,CNVCF
2024-06-03,1.0,1.47698,AEZS
2024-05-31,35.0,1.0,NBY
2024-05-31,1.0,2.0,DAFVF
2024-05-30,1.0,4.0,IGPTF
2024-05-30,1.0,1.0903342366757,CDIGF
2024-05-30,100.0,1.0,BRRGF
2024-05-30,15.0,1.0,BCDA
2024-05-30,10.0,1.0,AASZD
2024-05-29,38.0,39.0,VSCFF
2024-05-29,17.0,18.0,RETTF
2024-05-29,20.22,21.22,NNGPF
2024-05-29,15.0,1.0,GV
2024-05-29,50.0,1.0,GASMF
2024-05-28,10.0,1.0,TOYRF
2024-05-28,15.0,1.0,THAR
2024-05-28,200.0,1.0,SINT
2024-05-28,10.0,1.0,MGLUY
2024-05-24,10.0,1.0,USCTF
2024-05-24,10.0,1.0,USCT
2024-05-24,10.0,1.0,STLXF
2024-05-24,34.0,1.0,PLTXF
2024-05-24,1.0,1.0336102719033233,MTRJF
2024-05-24,79.0,62.0,CRNZF
